base,exchange_count,ace,ascendex,bequant,bigone,binance,binanceus,bingx,bit2c,bitbank,bitbay,bitbns,bitcoincom,bitfinex,bitfinex2,bitflyer,bitget,bitmart,bitmex,bitopro,bitrue,bitso,bitstamp,bitvavo,bl3p,btcalpha,btcbox,btcmarkets,btcturk,bybit,cex,coinbaseprime,coinbasepro,coincheck,coinex,coinlist,coinmate,coinone,coinsph,coinspot,cryptocom,currencycom,delta,deribit,digifinex,exmo,fmfwio,gate,gateio,gemini,hitbtc,hitbtc3,hollaex,htx,huobi,huobijp,independentreserve,indodax,kraken,kucoin,kuna,latoken,lbank,luno,lykke,mercado,mexc,ndax,novadax,oceanex,okcoin,okx,p2b,paymium,phemex,poloniex,probit,timex,tokocrypto,upbit,wavesexchange,wazirx,whitebit,woo,yobit,zaif,zonda
PRQ,17,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,X,,X,,,,,,X,,,,,X,,X,X,,X,X,,X,X,,,,,X,,X,,,,,X,,,,,X,,,,X,,,,,,,,,,,
LBR,17,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,X,,,X,,,,,,,X,X,,X,X,,,,,,,,X,,,X,,,,X,,X,,,X,,,,,,,,,,,,,X,,
XRD,17,,X,,,,,X,,,,,X,X,X,,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,X,X,X,,X,X,,,,,,,,X,,X,,,,,X,,,,,,,,,,,,,,,,,,,,
HTX,17,,X,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,X,X,,,,X,,,,,,,,,X,X,,,,,X,,,,,
XCH,17,,,,,,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,X,,,,,,,X,X,,X,X,,X,X,,,X,,X,,,X,,,,X,,,,,X,,,,,,,,,,,,,X,,
BRISE,17,,X,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,X,X,,X,X,,X,X,,,X,,X,,X,,,,,X,,,,,,,,,X,,,,,,X,,,,,
GTAI,17,,X,,X,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,,,,,X,,X,,,,,,,X,X,,,,,,,,,,
MXC,17,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,X,X,,X,X,,X,X,,,,X,X,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,
UOS,16,,X,,,,,X,,,,,,X,X,,,X,,,X,,,,,,,,,,,,,,X,,,X,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,
CXT,16,,X,,,,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,X,,,,,X,,,,,,,X,X,,,,,X,X,,,,X,X,,,,,,,X,,,,,X,,,,,X,,,,,,,,X,,
ZBCN,16,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,X,,,,X,,,X,X,,,,,X,X,,,,,X,,,,,,,X,,,,,X,,,,X,,,,,,,,,,,
