base,exchange_count,ace,ascendex,bequant,bigone,binance,binanceus,bingx,bit2c,bitbank,bitbay,bitbns,bitcoincom,bitfinex,bitfinex2,bitflyer,bitget,bitmart,bitmex,bitopro,bitrue,bitso,bitstamp,bitvavo,bl3p,btcalpha,btcbox,btcmarkets,btcturk,bybit,cex,coinbaseprime,coinbasepro,coincheck,coinex,coinlist,coinmate,coinone,coinsph,coinspot,cryptocom,currencycom,delta,deribit,digifinex,exmo,fmfwio,gate,gateio,gemini,hitbtc,hitbtc3,hollaex,htx,huobi,huobijp,independentreserve,indodax,kraken,kucoin,kuna,latoken,lbank,luno,lykke,mercado,mexc,ndax,novadax,oceanex,okcoin,okx,p2b,paymium,phemex,poloniex,probit,timex,tokocrypto,upbit,wavesexchange,wazirx,whitebit,woo,yobit,zaif,zonda
PUFFER,16,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,X,X,,,,,,,X,,X,,,,,,X,X,,,,,,,,,,,
REVV,16,,X,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,X,X,X,,X,X,,X,X,,,,,X,,X,,,,,X,,,,,,,,,,X,,,,,,,,,,
MASA,16,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,X,,X,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,,,,,X,,X,,,,,,X,,,,,,,,,,,,
ULTI,16,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,X,,X,X,,,,X,,X,,,X,,,X,,,,,,,,,,,,
CARV,16,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,,,,,X,,X,,,,,,X,X,,,,X,,,,,,,
SDAO,16,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,X,,,,X,X,,X,,,,,,,X,,,,,,,,,X,,
AITECH,16,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,X,,,X,X,,,,,X,X,,,,,X,,,X,,,,X,,,,,,,,,X,X,,,,,,,,,,
GST,16,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,X,,X,X,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,X,X,,,,,,X,X,,,,,,,,X,,,,,,,,,,X,,
GME,16,,X,,,,,X,,,,,,,,,X,,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,X,,X,X,,,,,X,X,,,,,,,,X,,,,X,,X,,,,,,X,X,,,,,,,,,,,
SOLO,16,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,X,,,,,,,,,X,X,,X,X,,X,X,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,
ZKF,16,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,X,,,,X,,X,,,,,,,X,,,,,,,,,,,
KLV,16,,,,,,,,,,,,X,,,,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,X,X,X,,X,X,,X,X,,,,,X,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,
MOBILE,16,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,X,X,,X,,,,,,X,,,,,,,X,X,,,,,,,,,,,X,,X,,,,X,X,,X,,,,,,,X,,,,,,,,,,,
L3,16,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,X,,,,,,,X,X,,,,,,,,,X,X,X,,,,,,,X,,X,,,,,,,X,,,,,,,,,,,
GOAT,16,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,,,,,,,,,,X,,X,,,,,,X,X,,,,,,,,,X,,
XCAD,16,,X,,,,,X,,,,X,,X,X,,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,X,,,,,X,,,,,,,,,X,,,,,,,,,,,
MPL,16,,X,,,,,X,,,,,,,,,,,,,X,,X,,,,,,,,,X,X,,X,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,X,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,
OAS,16,,,,,,,X,,X,,,,,,,X,X,,,,,,,,,,,,X,,,,,X,,,X,,,X,,,,,,,X,X,,,,,X,X,,,,,X,,,,,,,X,,,,,X,,,,,,,,X,,,,,,,
SUKU,16,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,X,,,,,X,,,,,,,,,X,,,,,,,,,,,
OPEN,15,,X,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,X,X,,X,X,,X,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,,X,,,,,
VRTX,15,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,
AVAIL,15,,,,,,,X,,,,,,,,,X,,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,,,,X,X,,X,,,,,,X,,,,,,,,X,,,,
RSS3,15,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,,,X,X,,,,X,,,,,X,,,X,,,,,,,,,,,,
GROK,15,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,X,,,X,X,,,,,X,X,,,,,,,X,X,,,,X,,X,,,,,,,X,,,,,,,,,,,
ZKJ,15,,,,,,,X,,,,,,,,,,X,,,X,,,,,,,,,X,,,,,X,,,,,,X,,,,,,,X,X,,,,,,,,,X,,X,,X,,,,,X,,X,,,X,,,X,,,,,,,,,,,,
AZERO,15,,,,,,,X,,,,,,X,X,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,
FITFI,15,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,,,X,,X,,,,,X,,,,,,,,,X,,,,,,,,,,,
UNIBOT,15,,,,,,,X,,,,,,,,,X,,,,X,,,,,,,,,,,,,,X,,,,X,,X,,,,,,,X,X,,X,X,,X,X,,,,,,,,,,,,X,,X,,,,,,,X,,,,,,,,,,,
WAXL,15,,,,,,,X,,,,,,,,,X,,,,X,,,,,,,,,,,X,X,,X,X,,X,,,,,,,,,,X,X,,,,,X,X,,,,X,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,
ERG,15,,,,,,,,,,,,X,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,X,X,X,,X,X,,X,X,,,X,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,
MOTHER,15,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,X,X,,,,,X,X,,,,,,,X,X,,,X,X,,X,,,,,,,X,,,,,,,,,,,
KAI,15,,X,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,X,,,X,,,,,,,X,,,X,X,,,,,X,X,,,X,,X,,X,,,,,X,,,,,,,,,X,,,,,,,,,,,
POLIS,15,,X,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,,,,,,,X,X,,X,X,,,,,,,X,,,X,X,,,X,X,,,,,,,,,X,,,,,,,,,,,
SCA,15,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,X,,,,,X,,,X,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,X,,,,X,,X,,,,,,,X,,,,,,,,,,,
KMNO,15,,,,,,,,,,,,,X,X,,X,,,,,,,X,,,,,,X,,,,,X,,,,,,,,,,,X,,X,X,,,,,,,,,,X,X,,,,,,X,X,,X,,,,,,X,,,,,,,,,,,,
RON,15,,,,,,,X,,,,,,,,,X,,,,,,,X,,,,,,,,,,,X,,,X,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,X,,X,,,X,,,X,,,,,,,,X,X,,,
OKB,15,,,,,,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,X,X,,,,,,X,,,,X,X,,,,X,,,,,X,,,,X,X,,,,,,,,,,
ZERO,15,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,,X,,,,,,,,,,X,,,X,X,,,,,X,X,,,,,X,,,,,,,X,,X,,,X,,,X,X,,,,,,,,,,,
ALI,15,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,X,X,X,X,X,,X,X,,,,,,,X,,,,,X,,,,,,,,,X,,,,,,,,,,,
GFI,14,,,,,,,X,,,,,,,,,X,,,,X,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,X,X,,X,X,,,,,,,X,,,X,,,,X,X,,,,,,,,,,,,,,,,,,,,
FORT,14,,,,,,X,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,X,X,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,X,,,,,
DEP,14,,,,,,,X,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,,X,X,X,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,X,
DEFI,14,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,X,,X,,,,,,X,X,,X,,,,,,X,,,,,,,,,,,,
SWFTC,14,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,
VLX,14,,,,,,,X,,,,,X,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,X,X,X,X,,X,X,,X,X,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,
STRM,14,,,,X,,,,,,,,,,,,,X,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,X,X,,X,X,,X,X,,,X,,,,X,,,,,X,,,,,,,,,,X,,,,,,,,,,
SYLO,14,,,,,,,,,,,X,,,,,X,X,,,X,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,X,,,,,X,,,,,,,,,,,,,,,,,,,,
1CAT,14,,,,X,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,X,,,,,X,,X,,,,,,,,,,,,,,,,,,
ARTY,14,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,,,,,,X,,,,,X,,,,,,,,,,,,,,,
LEO,14,,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,,,,,X,,,,X,X,,,,X,,,,,X,,,,,X,,,,,,,,X,,
MONG,14,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,X,X,,,,,X,X,,,,,,,X,X,,,,X,,X,,,,,,,X,,,,,,,,,,,
NEON,14,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,X,X,,X,X,,X,,,X,,,,,,,X,X,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,
PIRATE,14,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,X,,X,X,,X,,,,X,,X,,,,,,,X,X,,,,,,,,,,,,,X,,,,X,,,X,,,,,,X,,,,,,,,,,,,
DOG,14,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,X,,,,,,,,,X,X,,,,,X,X,,,,,,,,,,,,X,,X,,,,,,,X,,,,,,,,,,,
NCT,14,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,
OPUL,14,,X,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,X,,,,X,X,,,,,,,,,,,,,,,,,,,,
ZKL,14,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,X,,,,,X,X,,X,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,X,,,,X,,,,,,,,,,,,,,,,,,,,
SLN,14,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,X,,,X,,,,,,,X,X,,,,,,,,,,,X,,X,,,,,X,,X,,,,,,X,,,,,,,,,,,,
WOJAK,14,,X,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,X,,,,X,,X,,,,,,,X,,,,,,,X,,,,
TLOS,14,,,,,,,,,,,,,X,X,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,X,,,,,X,,,,,,,,,,X,,,,,,,,,,
XR,14,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,X,,X,,,X,,,,X,,X,,,X,,,,,,,,,,,,X,,,
DUEL,14,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,X,,,X,X,,,,,,,,,,,,,X,,,,,X,,X,,,,,,X,,,,,,,,,,,,
MON,14,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,X,,,,,X,,,X,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,,,,,X,,X,,,,,,X,,,,,,,,,,,,
NEIROETH,14,,X,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,,,,,,X,,,,X,,X,,,,,,X,X,,,,,,,,,,,
LAT,13,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,X,X,,,,,X,X,,,X,,,,,X,,,,X,,,,,X,,,,,,,,,,,,,,,
LRDS,13,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,,,,,X,,X,,,,,,,X,,,,,,,,,,,
VINU,13,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,X,,,,,X,,X,,,,,,,X,,,,,,,,,,,
APP,13,,,,,,,X,,,,,,X,X,,X,,,,X,,,,,,,,,X,,,,,X,,,X,,,,,,,,,,X,X,,,,,,,,,,,X,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
ARG,13,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,,,,,X,,X,,,X,,,X,X,,,,,,,,,,,
SFUND,13,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,X,,,,,X,,,,,,,,,,,,,,,,,,,,
XETA,13,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,
WILD,13,,,,,,,X,,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,X,,,,,X,,,,,,,,,,,,,,,,,,,,
LAI,13,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,X,X,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
PLANET,13,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,X,X,,,,,,,,,,X,,,,,X,,X,,,,,,,X,,,,,,,,X,X,,
PIXFI,13,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,,,,,X,,X,,,,,,,X,,,,,,,,,,,
BBL,13,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,X,,,,,X,,X,,,,,,,,,,,,,,,,,,
GARI,13,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,,X,X,,X,,,,,X,,,,,,,,X,,,,,,,,,,,,
EPIK,13,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,X,,,,,X,,,,,,,,,,X,,,,,,,,,,
DFI,13,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,X,,,,,,,,,,,,,,,X,,,,,,,,,,
HT,13,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,,X,X,X,,,,,,,X,,,,,,,,,,,,X,X,,,,,,,,,X,,
TURT,13,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,X,X,,,,,X,X,,,,,X,,,,,,,X,,X,,,,,,,X,,,,,,,,,,,
MFER,13,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,,,,,,X,,,,X,,X,,,,,,X,X,,,,,,,,,,,
TEL,13,,,,,,,X,,,,X,X,,,,X,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,X,X,,,,,,X,,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,
MSN,13,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,X,,,,X,,X,,,,,,,X,,,,,,,,,,,
CPOOL,13,,X,,,,,X,,,,,,,,,X,,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,X,X,,,,,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,
A8,13,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,X,,X,X,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,
MAGA,13,,X,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,X,,,,X,,X,,,,,,X,X,,,,,,,,,,,
DC,13,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,,,,,X,,X,,,,,,X,X,,,,,,,,,X,,
GOMINING,13,,,,,,,X,,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,
TRUMP,13,,,,,,,X,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,X,,,,X,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,X,,X,,,,,,,X,,,,,,,,,X,,
NAVX,13,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,,,,,X,,,X,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,X,,,,X,,,,,,,,,X,,,,,,,,,,,
CLOUD,13,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,X,,,X,,,,,,,X,X,,,,,,,,,,X,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
PUSH,13,,,,,,,X,,,,X,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,,,X,,X,,,,,X,,,,,,,,,,,,,,,X,,,,,
SHRAP,13,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,X,,,,,,,,,,X,X,,X,X,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,
NEIROCTO,12,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,X,,X,,,,,,,X,,X,,,,,,,X,,,,,,,,,,,
MYRIA,12,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,X,X,,,,,,,,X,,,,,,,X,,,,,X,,,,,,,,,,,,,,,
BILLY,12,,X,,,,,,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,X,,,,X,,X,,,,,,,,,,,,,,,,,,
SPEC,12,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,X,,,,,X,,,,,,X,,,,,,,X,X,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,X,,
GRAIL,12,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,,,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,,
KISHU,12,,,,X,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,X,X,,,,X,,X,,,X,,,,X,,,,,,,,,,,
HOPR,12,,X,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,X,X,,X,X,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,
PENG,12,,X,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,X,,X,,,,,,X,X,,,,,,,,,,,
ELA,12,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,X,X,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,
WELL,12,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,X,,X,X,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,
MVL,12,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,
BOB,12,,X,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,X,X,,,,,X,,,,,,,X,,X,,,,,,,X,,,,,,X,,,,,
MIGGLES,12,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,X,,X,,,,,,,X,,,,,,,,,,,
BITCI,12,,,,X,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,X,,,,
RIO,12,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,X,,,,,X,,,,,,X,X,,X,,,X,,,,X,,,,,,,,,X,,
KIN,12,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,X,X,,,,,,X,X,,,,,,,,X,,,,,,,,,,X,,,,,,,,X,,
SMOLE,12,,,,,,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,,,,,X,,X,,,,,,,X,,,,,,,,,,,
DMAIL,12,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,X,,,,,,,,,,X,X,,,,,,,,,,,X,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
DCK,12,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,X,,
TIME,12,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,X,X,,X,,,,,,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,X,,X,,,,,,,,,X,,,,,,,X,,
SAMO,12,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,X,,,,,,,,,X,,,X,,,,,X,,,,,X,,,,X,,,,,,,,,,,
WUSD,12,,X,,X,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,,,,,,,,,,X,,,,,X,,,,,,X,,,,X,,,,,,,,,,
NAP,12,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,X,,,X,X,,,,,,,,,,,,,,X,,,,X,,,,,,,,,X,,,,X,,,,,,,X
KRL,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,X,,,,,,,X,X,,X,X,,,,,,,,X,,X,,,,,X,,,,,,,,,,,,,,,,,,X,,
DOP,12,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,,,,,X,,X,,,,,,,,,,,,,,X,,,,
PORK,12,,X,,,,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,X,,,,X,,X,,,,,,,X,,,,,,,,,,,
MAX,12,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,X,,,,,,,X,,X,,,X,,,,,,,,,,,,,X,,
VENOM,12,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,X,,,,,,,,,X,X,,,,,,,,,,,X,,,,,,,X,,X,,,X,,,,X,,,,,,X,,,,,
ARV,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,X,,X,X,,X,X,,,X,,,,X,,,,,X,,X,,,,,,,,X,,,,,,,,,,
FLIP,12,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,,X,X,,,,,X,,,,,,,X,X,,X,X,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,
CBK,12,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,X,,,X,X,,,,,X,X,,,,,,,X,X,,,,X,,,,,,,,,,,,,X,,,,,,,
RADAR,12,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,X,,,,,,,X,X,,X,X,,X,X,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,
FOXY,12,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,X,,,X,,,,,,X,,,X,,,X,,,,,,,,,X,,,
