date,1INCHUSDT,AAVEUSDT,ALGOUSDT,APEUSDT,APTUSDT,ARUSDT,ATOMUSDT,AUDIOUSDT,AVAXUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,FETUSDT,FTMUSDT,GALAUSDT,GALUSDT,GMTUSDT,HNTUSDT,HOTUSDT,IMXUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,MANAUSDT,MATICUSDT,NEARUSDT,OCEANUSDT,OMGUSDT,ONEUSDT,RENUSDT,ROSEUSDT,RSRUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,SXPUSDT,THETAUSDT,TRXUSDT,UNIUSDT,WAVESUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT
2020-03-08,,,,,,,10526.853235261997,,,,10255.70006838802,,,,,,,,,,,7317.20188276001,10432.287672825974,,,,,,,,,,,10560.302576878043,,,,,,,,,,,,,,,,10824.549856242018,,,10338.55980404601,11505.904038499995,10229.883613999995,,
2020-03-09,,,,,,,10532.434128464001,,,,10272.57309532002,,,,,,,,,,,7317.20188276001,10445.33214345197,,,,,,,,,,,10560.289394290043,,,,,,,,,,,,,,,,10825.58335900202,,,10344.286655586016,11509.484245779997,10240.955335005998,,
2020-03-10,,,,,,,10583.746304608003,,,,10279.432713196025,,,,,,,,,,,7320.74324608001,10450.100333713968,,,,,,,,,,,10570.69764792804,,,,,,,,,,,,,,,,10834.871219886023,,,10347.924383706017,11585.294098399992,10245.817274972003,,
2020-03-11,,,,,,,10592.344158744003,,,,10287.57467253602,,,,,,,,,,,7323.40557388001,10453.60331146797,,,,,,,,,,,10574.33318380604,,,,,,,,,,,,,,,,10836.41948013802,,,10349.969503082015,11609.637891359991,10251.425067632006,,
2020-03-12,,,,,,,10597.50465215,,,,10583.081797552013,,,,,,,,,,,7326.493098920009,10461.889417327975,,,,,,,,,,,10575.881797488044,,,,,,,,,,,,,,,,10836.94466061802,,,10361.505596224008,11616.781170399992,10285.362450912013,,
2020-03-13,,,,,,,14507.70256331599,,,,11278.154036680042,,,,,,,,,,,7365.432223360005,10545.766656727985,,,,,,,,,,,10703.792099088043,,,,,,,,,,,,,,,,11071.191619650019,,,10452.575319074014,12081.355709319976,10406.821833628008,,
2020-03-14,,,,,,,14683.839969683995,,,,11303.025145114045,,,,,,,,,,,7384.131287160006,10563.17826245799,,,,,,,,,,,10734.666719744037,,,,,,,,,,,,,,,,11085.244326062022,,,10460.605227466014,12218.970010999972,10425.062489900007,,
2020-03-15,,,,,,,14804.663010068,,,,11336.83885935005,,,,,,,,,,,7414.091783340005,10573.181562792006,,,,,,,,,,,10768.001406552032,,,,,,,,,,,,,,,,11140.700104396024,,,10485.628233920017,12347.007565559974,10440.129963976011,,
2020-03-16,,,,,,,14840.705484270004,,,,11421.94527902605,,,,,,,,,,,7422.681155040007,10589.409192444009,,,,,,,,,,,10787.425511322024,,,,,,,,,,,,,,,,11168.864642302031,,,10516.29637448602,12358.401000959979,10479.633484222017,,
2020-03-17,,,,,,,14950.683140852008,,,,11454.89071831806,,,,,,,,,,,7460.694613260004,10610.850486004,,,,,,,,,,,10823.169551544011,,,,,,,,,,,,,,,,11226.719634212028,,,10529.496611650022,12554.524725019979,10488.130015686016,,
