date,AAVEUSDT,ALGOUSDT,APEUSDT,APTUSDT,ATOMUSDT,AUDIOUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,GALUSDT,GMTUSDT,HOTUSDT,IMXUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,OMGUSDT,RENUSDT,ROSEUSDT,SANDUSDT,SKLUSDT,SUSHIUSDT,SXPUSDT,TRXUSDT,WOOUSDT,XTZUSDT,ZILUSDT,ZRXUSDT
2021-01-03,11670.040460860038,14811.616721761697,,,21516.333127005848,,10835.348542039961,13872.543258790138,,,12143.883061614011,,14370.576951899999,12352.432632521572,13115.24959240008,11569.08346871998,11260.264959908054,,15426.301998220053,14160.72503390601,,,,,13002.975568516033,12077.851761460024,14534.818044302021,17288.926081538033,11355.313979672033,,,11025.402961223994,15623.89739127986,11655.942879651868,17257.64563504615,,21315.246606080018,16039.597172167958,14474.317574750017
2021-01-04,11805.025342460036,14299.089865052018,,,21705.036445273843,,10851.856392639958,13904.693256072136,,,12164.115140862012,,14472.387279479995,12479.515787199762,13164.497434600074,11656.298506719982,11299.889086508054,,15543.358088540052,14299.900477402016,,,,,13141.929933054038,12105.908145900023,14642.81748409602,17640.299440180024,11425.51590621804,,,11118.058704753992,15808.724369199857,11711.15600610987,17355.297956060167,,21527.566770560028,16162.850065537961,14552.593918542016
2021-01-05,11898.448586660032,14601.40586258602,,,21852.30134871584,,10862.315786839967,13917.650140126132,,,12187.480265958013,,14550.028372299996,12530.273151964171,13244.130381580075,11744.758699679984,11340.741350828052,,15583.15010244005,14325.755706022015,,,,,13270.453909398044,12145.725544200026,14671.938807762019,17860.95400907002,11450.243279406037,,,11352.777315787987,15936.443012559861,11721.83176337787,17370.523249364167,,21753.646339260027,16249.497445975967,14583.684630502015
2021-01-06,11911.963759660031,14736.241304114017,,,22078.306309553842,,10881.58675583997,13926.163195532137,,,12280.88558142201,,14619.819548339996,12604.903838602975,13319.339410320074,11770.99680607998,11378.335137230048,,15739.708297400042,14357.064178986016,,,,,13373.373049872043,12198.894058220025,14706.006012818018,17936.415437258023,11501.22342936804,,,11422.197823655986,15996.767021579859,11741.626108517876,17464.976128090173,,22040.161707820032,16316.526943975967,14760.040092020017
2021-01-07,11948.430489900036,14780.831168140016,,,22144.32981083785,,10929.940671125967,13943.44680461414,,,12368.37728601601,,14668.050166119994,12629.609896438984,13434.304699660071,11790.44603567998,11433.647823266047,,15798.40903862004,14368.992251674012,,,,,13421.112259292044,12242.238550100024,14783.73426461802,17986.606815886018,11614.573241922044,,,11464.762690091986,16068.112221859856,11774.282700067883,17603.566420080155,,22212.39636328002,16409.503610351992,14788.442449192018
2021-01-08,11953.43214390004,14818.190563410015,,,22154.24490674785,,10943.895448925967,13960.899804624136,,,12392.798812648009,,14689.226794719994,12678.365476270586,13457.634903620068,11809.319364939975,11911.468872896043,,15821.32360444004,14373.768360402011,,,,,13447.082508708045,12262.292789500023,14850.454504050022,18046.434727826014,11689.228791706042,,,11513.61424399999,16176.624703159854,11822.125202469892,17613.353354040155,,22260.525175360013,16477.833262548003,14798.798174416019
2021-01-09,11962.582913100041,14859.154896502016,,,22370.727096983857,,10963.06555046597,13965.058532500136,,,12399.18499750801,,14741.611549699996,12720.070166734184,13484.678719280064,11818.418879139967,11986.740588540035,,15826.33026804004,14434.530874982014,,,,,13594.086636140046,12269.61935650002,14876.906650470026,18102.080108546015,11693.418117682042,,,11540.983319545987,16309.88427125985,11870.452218019895,17731.189918770135,,22397.09030526002,16526.064353398022,14833.172814262447
2021-01-10,12051.550667600035,14892.781765638014,,,22493.658189021855,,10966.108672865968,13984.712962072139,,,12500.54047857001,,14768.209758339994,12737.31875509638,13507.452414060062,11825.607133539963,12019.817937666037,,15907.589652640037,14518.267814976016,,,,,13631.344552922046,12294.566933800023,14891.045491018025,18179.972428768022,11806.749472868043,,,11618.428374121988,16320.806684119849,11887.786688499895,17806.016110954122,,22578.366359040007,16594.804472812026,15015.921916258018
2021-01-11,12067.895650360037,14892.737373618014,,,22499.621009985854,,10973.03818426596,14042.838053176158,,,12514.47356100801,,14774.780746039994,12764.918553077781,13520.468507780062,11831.381746539966,12060.875426194034,,15907.551063440038,14529.628178828016,,,,,13639.97558832205,12321.35881068002,14897.237788470025,18252.611528572023,11806.718842616043,,,11662.754446421985,16331.741895899846,11891.417452229898,17806.739827354122,,22667.449405980016,16691.91813520803,15021.197430308019
2021-01-12,12221.435193220033,14915.338498240015,,,22628.31781476985,,10985.784661665964,14055.491715432154,,,12583.090694776016,,14827.490698679994,12811.601382045796,13592.701087060062,11859.135620079967,12178.918861100035,,15930.781132760038,14558.39754191202,,,,,13652.94756334005,12366.412449820013,14930.010714440028,18482.903792864032,11850.90978618604,,,11710.415515725985,16540.374246799845,11905.239229405908,17830.34920133412,,22757.695348340014,16904.00317832601,15054.07184759002
